21,1032,192.168.0.13:48404
14,1032,192.168.0.13:48406
6,1032,192.168.0.13:48408
5,1032,192.168.0.13:48410
5,1032,192.168.0.13:48412
32,1032,192.168.0.13:48414
7,1032,192.168.0.13:48416
3,1032,192.168.0.13:48418
4,1032,192.168.0.13:48420
6,1032,192.168.0.13:48422
5,1032,192.168.0.13:48424
7,1032,192.168.0.13:48426
6,1032,192.168.0.13:48428
5,1032,192.168.0.13:48430
5,1032,192.168.0.13:48432
5,1032,192.168.0.13:48434
8,1032,192.168.0.13:48436
7,1032,192.168.0.13:48438
5,1032,192.168.0.13:48440
4,1032,192.168.0.13:48442
6,1032,192.168.0.13:48444
3,1032,192.168.0.13:48446
5,1032,192.168.0.13:48448
4,1032,192.168.0.13:48450
6,1032,192.168.0.13:48452
4,1032,192.168.0.13:48454
14,1032,192.168.0.13:48456
4,1032,192.168.0.13:48458
7,1032,192.168.0.13:48460
6,1032,192.168.0.13:48462
11,1032,192.168.0.13:48464
4,1032,192.168.0.13:48466
5,1032,192.168.0.13:48468
3,1032,192.168.0.13:48470
8,1032,192.168.0.13:48472
7,1032,192.168.0.13:48474
4,1032,192.168.0.13:48476
5,1032,192.168.0.13:48478
5,1032,192.168.0.13:48480
4,1032,192.168.0.13:48482
7,1032,192.168.0.13:48484
6,1032,192.168.0.13:48486
5,1032,192.168.0.13:48488
5,1032,192.168.0.13:48490
3,1032,192.168.0.13:48492
4,1032,192.168.0.13:48494
3,1032,192.168.0.13:48496
6,1032,192.168.0.13:48498
5,1032,192.168.0.13:48500
12,1032,192.168.0.13:48502
4,1032,192.168.0.13:48504
6,1032,192.168.0.13:48506
4,1032,192.168.0.13:48508
3,1032,192.168.0.13:48510
4,1032,192.168.0.13:48512
6,1032,192.168.0.13:48516
7,1032,192.168.0.13:48530
5,1032,192.168.0.13:48534
3,1032,192.168.0.13:48538
6,1032,192.168.0.13:48540
7,1032,192.168.0.13:48544
4,1032,192.168.0.13:48546
3,1032,192.168.0.13:48548
7,1032,192.168.0.13:48554
5,1032,192.168.0.13:48556
8,1032,192.168.0.13:48518
8,1032,192.168.0.13:48520
6,1032,192.168.0.13:48522
7,1032,192.168.0.13:48526
3,1032,192.168.0.13:48528
5,1032,192.168.0.13:48532
3,1032,192.168.0.13:48542
4,1032,192.168.0.13:48558
5,1032,192.168.0.13:48524
3,1032,192.168.0.13:48560
5,1032,192.168.0.13:48574
4,1032,192.168.0.13:48568
4,1032,192.168.0.13:48586
6,1032,192.168.0.13:48590
4,1032,192.168.0.13:48592
5,1032,192.168.0.13:48588
3,1032,192.168.0.13:48578
6,1032,192.168.0.13:48584
6,1032,192.168.0.13:48564
5,1032,192.168.0.13:48562
6,1032,192.168.0.13:48566
4,1032,192.168.0.13:48570
5,1032,192.168.0.13:48576
5,1032,192.168.0.13:48580
5,1032,192.168.0.13:48582
5,1032,192.168.0.13:48594
5,1032,192.168.0.13:48596
5,1032,192.168.0.13:48598
6,1032,192.168.0.13:48514
4,1032,192.168.0.13:48536
5,1032,192.168.0.13:48550
7,1032,192.168.0.13:48552
6,1032,192.168.0.13:48572
3,1032,192.168.0.13:48600
7,1032,192.168.0.13:48602
9,1032,192.168.0.13:48606
6,1032,192.168.0.13:48608
4,1032,192.168.0.13:48610
6,1032,192.168.0.13:48612
4,1032,192.168.0.13:48616
5,1032,192.168.0.13:48618
4,1032,192.168.0.13:48624
10,1032,192.168.0.13:48604
6,1032,192.168.0.13:48614
6,1032,192.168.0.13:48620
6,1032,192.168.0.13:48622
4,1032,192.168.0.13:48626
4,1032,192.168.0.13:48628
5,1032,192.168.0.13:48630
4,1032,192.168.0.13:48632
5,1032,192.168.0.13:48640
5,1032,192.168.0.13:48634
6,1032,192.168.0.13:48636
5,1032,192.168.0.13:48638
20,1032,192.168.0.13:48644
16,1032,192.168.0.13:48642
18,1032,192.168.0.13:48648
14,1032,192.168.0.13:48650
7,1032,192.168.0.13:48652
17,1032,192.168.0.13:48656
8,1032,192.168.0.13:48654
18,1032,192.168.0.13:48646
7,1032,192.168.0.13:48658
7,1032,192.168.0.13:48660
16,1032,192.168.0.13:48662
7,1032,192.168.0.13:48664
16,1032,192.168.0.13:48666
7,1032,192.168.0.13:48668
5,1032,192.168.0.13:48670
5,1032,192.168.0.13:48672
7,1032,192.168.0.13:48674
4,1032,192.168.0.13:48680
6,1032,192.168.0.13:48676
7,1032,192.168.0.13:48678
6,1032,192.168.0.13:48682
4,1032,192.168.0.13:48684
15,1032,192.168.0.13:48686
4,1032,192.168.0.13:48688
2,1032,192.168.0.13:48692
3,1032,192.168.0.13:48694
4,1032,192.168.0.13:48700
4,1032,192.168.0.13:48702
5,1032,192.168.0.13:48710
5,1032,192.168.0.13:48696
4,1032,192.168.0.13:48718
3,1032,192.168.0.13:48722
5,1032,192.168.0.13:48736
5,1032,192.168.0.13:48698
5,1032,192.168.0.13:48704
6,1032,192.168.0.13:48730
5,1032,192.168.0.13:48732
3,1032,192.168.0.13:48734
4,1032,192.168.0.13:48742
4,1032,192.168.0.13:48746
3,1032,192.168.0.13:48750
5,1032,192.168.0.13:48690
3,1032,192.168.0.13:48706
4,1032,192.168.0.13:48708
8,1032,192.168.0.13:48712
6,1032,192.168.0.13:48714
6,1032,192.168.0.13:48716
3,1032,192.168.0.13:48720
5,1032,192.168.0.13:48724
6,1032,192.168.0.13:48726
5,1032,192.168.0.13:48728
5,1032,192.168.0.13:48738
4,1032,192.168.0.13:48744
4,1032,192.168.0.13:48752
6,1032,192.168.0.13:48754
4,1032,192.168.0.13:48756
5,1032,192.168.0.13:48758
6,1032,192.168.0.13:48762
4,1032,192.168.0.13:48764
4,1032,192.168.0.13:48772
8,1032,192.168.0.13:48780
4,1032,192.168.0.13:48786
4,1032,192.168.0.13:48748
7,1032,192.168.0.13:48774
5,1032,192.168.0.13:48812
5,1032,192.168.0.13:48792
4,1032,192.168.0.13:48796
5,1032,192.168.0.13:48800
5,1032,192.168.0.13:48798
7,1032,192.168.0.13:48816
3,1032,192.168.0.13:48818
3,1032,192.168.0.13:48826
5,1032,192.168.0.13:48836
3,1032,192.168.0.13:48760
4,1032,192.168.0.13:48766
4,1032,192.168.0.13:48768
5,1032,192.168.0.13:48782
4,1032,192.168.0.13:48804
6,1032,192.168.0.13:48776
4,1032,192.168.0.13:48788
5,1032,192.168.0.13:48802
3,1032,192.168.0.13:48810
5,1032,192.168.0.13:48820
3,1032,192.168.0.13:48824
4,1032,192.168.0.13:48828
3,1032,192.168.0.13:48834
5,1032,192.168.0.13:48838
5,1032,192.168.0.13:48840
3,1032,192.168.0.13:48806
7,1032,192.168.0.13:48740
4,1032,192.168.0.13:48770
5,1032,192.168.0.13:48808
7,1032,192.168.0.13:48814
3,1032,192.168.0.13:48790
5,1032,192.168.0.13:48778
4,1032,192.168.0.13:48784
7,1032,192.168.0.13:48794
5,1032,192.168.0.13:48822
4,1032,192.168.0.13:48830
6,1032,192.168.0.13:48832
12,1032,192.168.0.13:48842
15,1032,192.168.0.13:48844
17,1032,192.168.0.13:48846
21,1032,192.168.0.13:48862
4,1032,192.168.0.13:48864
8,1032,192.168.0.13:48848
8,1032,192.168.0.13:48850
6,1032,192.168.0.13:48852
3,1032,192.168.0.13:48854
7,1032,192.168.0.13:48856
5,1032,192.168.0.13:48866
3,1032,192.168.0.13:48872
3,1032,192.168.0.13:48874
5,1032,192.168.0.13:48876
4,1032,192.168.0.13:48880
55,1032,192.168.0.13:48882
6,1032,192.168.0.13:48858
3,1032,192.168.0.13:48860
3,1032,192.168.0.13:48878
4,1032,192.168.0.13:48886
