Thread Number,Bytes Sent,IPAddress
25882,8,192.168.0.13:44294
25508,8,192.168.0.13:44336
26068,8,192.168.0.13:44350
25387,8,192.168.0.13:44364
25416,8,192.168.0.13:44426
26538,8,192.168.0.13:44382
25484,8,192.168.0.13:44318
27186,8,192.168.0.13:44416
26066,8,192.168.0.13:44344
25909,8,192.168.0.13:44346
25388,8,192.168.0.13:44360
25605,8,192.168.0.13:44386
25550,8,192.168.0.13:44356
25645,8,192.168.0.13:44338
25536,8,192.168.0.13:44326
27401,8,192.168.0.13:44420
25825,8,192.168.0.13:44342
25313,8,192.168.0.13:44306
28440,8,192.168.0.13:44378
25484,8,192.168.0.13:44310
28451,8,192.168.0.13:44384
25499,8,192.168.0.13:44308
27956,8,192.168.0.13:44394
25403,8,192.168.0.13:44406
27735,8,192.168.0.13:44402
25673,8,192.168.0.13:44282
27064,8,192.168.0.13:44454
27085,8,192.168.0.13:44452
25672,8,192.168.0.13:44322
27261,8,192.168.0.13:44444
27833,8,192.168.0.13:44460
29514,8,192.168.0.13:44362
29525,8,192.168.0.13:44368
29519,8,192.168.0.13:44374
29550,8,192.168.0.13:44372
29636,8,192.168.0.13:44376
29236,8,192.168.0.13:44430
29739,8,192.168.0.13:44370
29651,8,192.168.0.13:44366
29621,8,192.168.0.13:44206
28202,8,192.168.0.13:44456
28757,8,192.168.0.13:44442
29213,8,192.168.0.13:44446
25399,8,192.168.0.13:44334
29192,8,192.168.0.13:44476
25300,8,192.168.0.13:43944
29594,8,192.168.0.13:44458
29513,8,192.168.0.13:44472
29555,8,192.168.0.13:44466
26641,8,192.168.0.13:44464
28111,8,192.168.0.13:44380
27217,8,192.168.0.13:44414
27150,8,192.168.0.13:44418
27490,8,192.168.0.13:44398
26594,8,192.168.0.13:44470
26584,8,192.168.0.13:44474
25431,8,192.168.0.13:44352
25422,8,192.168.0.13:44328
28202,8,192.168.0.13:44208
25210,8,192.168.0.13:44296
27791,8,192.168.0.13:44388
25307,8,192.168.0.13:44302
25322,8,192.168.0.13:44304
28208,8,192.168.0.13:44212
25440,8,192.168.0.13:44314
31750,8,192.168.0.13:44468
29944,8,192.168.0.13:44496
25747,8,192.168.0.13:44520
29891,8,192.168.0.13:44494
29851,8,192.168.0.13:44504
29898,8,192.168.0.13:44516
28381,8,192.168.0.13:44484
29837,8,192.168.0.13:44518
28377,8,192.168.0.13:44508
29846,8,192.168.0.13:44544
28379,8,192.168.0.13:44492
28380,8,192.168.0.13:44482
29948,8,192.168.0.13:44510
28383,8,192.168.0.13:44530
28388,8,192.168.0.13:44554
28390,8,192.168.0.13:44532
31873,8,192.168.0.13:44626
32222,8,192.168.0.13:44514
32219,8,192.168.0.13:44540
32216,8,192.168.0.13:44500
32211,8,192.168.0.13:44498
78993,8,192.168.0.13:44480
46113,8,192.168.0.13:44678
26835,8,192.168.0.13:44552
29845,8,192.168.0.13:44506
25398,8,192.168.0.13:44488
26833,8,192.168.0.13:44526
29907,8,192.168.0.13:44502
26463,8,192.168.0.13:44522
26911,8,192.168.0.13:44546
26455,8,192.168.0.13:44528
26495,8,192.168.0.13:44536
26494,8,192.168.0.13:44524
